Date,Year,Time step,Cumu Total Orders (ML),Farm Orders,Other Orders,Env Orders,TS HR Alloc. (ML),TS LR Alloc. (ML),Cumu. Camp HR Alloc. (ML),Cumu. Camp LR Alloc. (ML),Camp HR Alloc. (%),Camp LR Alloc. (%),Env HR Alloc (ML),Env LR Alloc (ML),Adj HR Alloc (%),Adj LR Alloc (%),GMW Vol (ML),Goulburn HR Alloc. (%),Goulburn LR Alloc. (%),Inflow (ML),Dam Vol (ML),Daily Dam Release (ML),Avail. Carryover (ML),Next Year's Reserves (ML)
2011-08-26,31,6,1120.0,0.0,0.0,0.0,32338.8,0.0,31802.8,14728.1,100.0,100.0,25596.0,0.0,96.7554192716,73.3935673427,251688.311184,100.0,NA,3773.92355526,304187.041303,201.178,6405.66,31802.8
2011-09-09,31,7,1204.65236149,0.0,0.0,84.6523614858,32254.1476385,0.0,31802.8,14728.1,100.0,100.0,25596.0,0.0,96.7554192716,73.3935673427,241639.701669,100.0,NA,377.838467608,295328.724543,40.25965647,6405.66,31802.8
2011-09-23,31,8,1324.65236149,0.0,0.0,120.0,32134.1476385,0.0,31802.8,14728.1,100.0,100.0,25511.3476385,0.0,96.7554192716,73.3935673427,242375.18147,100.0,NA,4114.40268734,292489.08691,218.320857143,6405.66,31802.8
2011-10-07,31,9,1324.65236149,0.0,0.0,0.0,32134.1476385,0.0,31802.8,14728.1,100.0,100.0,25391.3476385,0.0,96.7554192716,73.3935673427,255405.416552,100.0,NA,1056.70960242,311437.310583,76.6572573157,6405.66,31802.8
2011-10-21,31,10,1377.22847578,0.0,0.0,52.5761142951,32081.5715242,0.0,31802.8,14728.1,100.0,100.0,25391.3476385,0.0,96.7554192716,73.3935673427,251996.206343,100.0,NA,2129.02409454,306207.422665,160.762023081,6405.66,31802.8
2011-11-04,31,11,1377.22847578,0.0,0.0,0.0,32081.5715242,0.0,31802.8,14728.1,100.0,100.0,25338.7715242,0.0,96.7554192716,73.3935673427,244508.585942,100.0,NA,1088.52026087,298116.682107,78.9294472049,6405.66,31802.8
2011-11-18,31,12,1497.22847578,0.0,0.0,120.0,31961.5715242,0.0,31802.8,14728.1,100.0,100.0,25338.7715242,0.0,96.7554192716,73.3935673427,255075.358414,100.0,NA,8182.99518105,303908.51508,168.320857143,6405.66,31802.8
2011-11-25,31,13,1617.22847578,0.0,0.0,120.0,31841.5715242,0.0,31802.8,14728.1,100.0,100.0,25218.7715242,0.0,96.7554192716,73.3935673427,254183.69067,100.0,NA,5678.73008679,305325.380486,168.320857143,6405.66,31802.8
2011-12-02,31,14,1617.22847578,0.0,0.0,0.0,31841.5715242,0.0,31802.8,14728.1,100.0,100.0,25098.7715242,0.0,96.7554192716,73.3935673427,251686.292381,100.0,NA,1208.18566192,306750.317242,87.4769758513,6405.66,31802.8
2011-12-16,31,15,1617.22847578,0.0,0.0,0.0,31841.5715242,0.0,31802.8,14728.1,100.0,100.0,25098.7715242,0.0,96.7554192716,73.3935673427,248177.020249,100.0,NA,175.192733654,303503.710009,13.6917666896,6405.66,31802.8
2011-12-30,31,16,1617.22847578,0.0,0.0,0.0,31841.5715242,0.0,31802.8,14728.1,100.0,100.0,25098.7715242,0.0,96.7554192716,73.3935673427,267487.400972,100.0,NA,20079.5948659,307148.55266,91.178,6405.66,31802.8
2012-01-13,31,17,1617.22847578,0.0,0.0,0.0,31841.5715242,0.0,31802.8,14728.1,100.0,100.0,25098.7715242,0.0,96.7554192716,73.3935673427,248972.901242,100.0,NA,1235.37479842,303414.114521,89.4190570301,6405.66,31802.8
2012-01-27,31,18,1617.22847578,0.0,0.0,0.0,31841.5715242,0.0,31802.8,14728.1,100.0,100.0,25098.7715242,0.0,96.7554192716,73.3935673427,244390.946515,100.0,NA,510.038125183,298551.701528,37.6092946559,6405.66,31802.8
2012-02-01,31,19,8217.22847578,0.0,0.0,6600.0,25241.5715242,0.0,31802.8,14728.1,100.0,100.0,25098.7715242,0.0,96.7554192716,73.3935673427,245298.040857,100.0,NA,1925.17673833,298242.775526,1024.03514286,6405.66,31802.8
2012-02-10,31,20,14217.2284758,0.0,0.0,6000.0,19241.5715242,0.0,31802.8,14728.1,100.0,100.0,18498.7715242,0.0,96.7554192716,73.3935673427,237233.064889,100.0,NA,864.656990001,289467.958729,920.082070714,6405.66,31802.8
2012-02-24,31,21,18084.4353231,0.0,0.0,3867.20684735,15374.3646769,0.0,31802.8,14728.1,100.0,100.0,12498.7715242,0.0,96.7554192716,73.3935673427,222714.927509,100.0,NA,958.094842221,271669.475291,622.071466922,6405.66,31802.8
2012-03-09,31,22,18084.4353231,0.0,0.0,0.0,15374.3646769,0.0,31802.8,14728.1,100.0,100.0,8631.56467687,0.0,96.7554192716,73.3935673427,257394.431067,100.0,NA,526.240985534,314393.406657,38.7666418239,6405.66,31802.8
